会社名,仕事内容,勤務地,初年度年収,対象となる方,給与,情報更新日
メットライフ生命保険株式会社,【 それぞれの営業スタイルで輝く人材へ！】生命保険の提案・営業を通じて、個人・法人のお客さまのライフプランを築く仕事をお任せします。,◆転勤なし ◆マイカー通勤OK ◆UIターン歓迎 □熊本県熊本市中央区桜町1-20 西嶋三井ビル1…,,【 保険業界の未経験者OK／人物重視の採用 】人と接することが好きな方歓迎！　◎高卒以上　★20代・30代の若手社員活躍中！　★キャリアアップも実現,初任給月給25万円または30万円 (基本給10万円＋初期補給15万円または20万円)＋業績給 ※初期補給の金額は…,2020/11/06
株式会社KDDIエボルバ,《ノルマなどは一切なし》お問合せ対応の受電業務や文字入力などの事務業務 ◎ゆくゆくは、リーダー職や研修の講師、事務などジョブチェンジもOK！,札幌市白石区東札幌2条1丁目2-7 【東札幌駅から徒歩3分】 ※マイカー通勤可 ※転勤なし ※面接…,300万円～400万円,《男女共に活躍中！／原則定時退社／転勤なし》◎条件に合う方は100％面接保証 ◎約1ヶ月の充実研修で安心！◎会話形式の面接で、その場で内定♪,"月給203,500円以上 ＋ 残業代別途支給 ＋ 各種諸手当＋一時金(会社の業績による) ※経験・能力を考慮のう…",2020/11/12
株式会社大阪ボイラー製作所,【自分の裁量が利益貢献につながるやりがい！】ボイラー製造するために必要な部品・資材などの調達、価格・スケジュール調整などをお任せします。,◆本社／大阪府大阪市西淀川区竹島5-2-28 【交通アクセス】 JR東西線『加島』駅より徒歩5分…,350万円～450万円,【直近5年間での退職者はゼロ！定着率抜群の環境で活躍！】◎未経験OK　◎高卒以上　◎要普免(AT限定可)　※社内外の手厚い研修制度あり,月給21万円〜 ＋ 諸手当 + 賞与(年2回／昨年実績：5ヶ月) ※上記はあくまで最低保障金額です。 年齢、経…,2020/11/03
株式会社さなる,【教育カウンセラー/集団指導/個別指導のいずれかを担当】★GW/夏季/年末年始は長期休暇も取得可能！福利厚生充実♪働く環境◎,■愛知県(名古屋市／豊橋市／刈谷市／岡崎市など) ■静岡県(浜松市／静岡市／沼津市など) ★希望・…,300万円～700万円,【未経験者・第二新卒歓迎♪】充実した研修で安心※短大／大卒以上、要普免(AT限定可)※35歳以下の方◆子どもの未来・社会貢献に関心のある方,月給24万円〜 ＜モデル年収例＞ 年収584万円／26歳 年収780万円／42歳 ※キャリア・経験・スキルを考慮…,2020/11/03
株式会社エールホーム,【反響メイン！飛び込み等はありません】HPやチラシを見てご来店されたお客様に、賃貸物件ご案内をお任せ。,JR八尾駅南店 大阪府八尾市植松町3丁目3-34 ⇒JR「八尾」駅より徒歩3分 本店 大阪府八尾市…,500万円～800万円,【宅建資格保持者は優遇】◎不動産仲介・賃貸の経験者（年齢不問）／未経験：45歳まで（※） ◎要普通自動車免許（AT限定可）◎高卒以上,月給20万円〜23万円 + インセンティブ 【宅建資格をお持ちの場合】 月給22万円〜25万円 + インセンティ…,2020/11/03
株式会社　日本経営,《医療・福祉業界などの人事評価制度や組織体制に貢献！》インサイドセールス・アシスタント業務もしくは、法人新規営業業務をお任せします,《博多駅徒歩5分と好アクセス！》 □株式会社　日本経営　福岡オフィス 〒812-0013 福岡県福…,,《未経験・第二新卒歓迎》◎短大卒・大卒以上◎メール・Word・Excel・PowerPointなどの基本スキル★電話が苦手でない方、人材業界経験者歓迎,月給19万円〜50万円+諸手当※賞与年2回 【月給例】 《営業アシスタント》月給19万円〜30万円 《営業》月…,2020/10/30
東京・日本交通株式会社,高槻エリアにお住まいの皆さまへ心温まる乗務サービスを提供【おなじみの土地で、走った分だけしっかりと稼げる仕事です│支給率業界TOPクラス】,[高槻営業所] ：高槻市梶原中村町19-6 ※転勤はありません ※マイカー、バイク、自転車通勤OK…,350万円～650万円,業界大手ならでの安心感に身をゆだねながら長く働きたい方【社員のほとんどが高槻など北摂エリア在住】【未経験歓迎│40~60代まで幅広く活躍中】,月給16万2000円＋歩合給＋賞与（年2回） ※乗務員資格取得までの期間中であっても 　日給9000円を支給し…,2020/10/30
株式会社イオンフレックス・ライフマネージメント,《 反響営業！アポイントは専任スタッフが担当 》当社のサービスに興味をお持ちのお客様に快適な住まいの為の商品やプランのご提案をします。,転勤なし！愛知・岐阜・三重・静岡・長野の募集 ◆愛知支店 名古屋市中区丸の内2-16-3 丸の内A…,500万円～800万円,《 未経験・第二新卒歓迎 》★学歴・職歴は一切不問 ★とにかく稼ぎたいという方、意欲や目標を持って働きたい方は大歓迎 ★要普通免許(AT限定可),月給26万円〜67万円＋各種手当＋インセンティブ ※経験・年齢を考慮の上、優遇いたします。 ※試用期間2…,2020/10/30
エムケイ西日本グループ株式会社,【全車両抗菌加工済み】役員やVIP送迎、空港送迎をお任せ ★車種はレクサスやクラウンHV等★最高級ワンボックス「グランエース」導入★予約営業が中心,【マイカー通勤OK・希望考慮・転勤なし】大阪府（大阪市）、兵庫県（神戸市・芦屋市）、福岡県（福岡市…,,【学歴・転職回数は一切問いません／ほぼ100%が未経験入社】■普通自動車免許取得後3年以上の方（ＡＴ限定OK！）★二種免許取得支援あり,【大阪・兵庫】 ■月給30万円＋業績給＋賞与年2回＋一律手当 【福岡 】 ■月給25万円＋業績給＋賞与年2…,2020/10/30
株式会社建築資料研究社,希望や適性に応じて、受講生のフォローもしくは既存顧客へのシステムの営業をお任せします。★十分な研修があり、未経験からでもスタート可能！,＼転勤なし／ 岐阜校：岐阜県岐阜市藪田南1-7-16 岐阜県ビル2F,350万円～550万円,【必須の応募資格はありません！たくさんの可能性に期待しています】◇人と接するのが好きな方◇コツコツ地道なコミュニケーションをとるのが得意な方,"月給27万7,000円〜（一律営業手当含む）＋インセンティブ＋各種手当（車両持込手当など） ※固定残業代…",2020/10/30
株式会社大一電業社,【日中・近場の案件メイン！基本的に先輩と同じ現場だから安心◎】長年取引のあるお客様先の工場などで、設備工事・メンテナンス等の業務をお任せ。,【JR＆阪急各線から通勤可能！】 本社もしくは、高槻出張所 ※希望をお聞きし、いずれかに配属します…,300万円～500万円,《実務未経験者も歓迎！》◆高卒以上 ◆電気工事士の有資格者、あるいは職業訓練校などで学び資格取得見込みの方 ☆20代の社員も活躍中！,月給18万円〜24万円 【月収例】 ◎入社1年目(第二種電気工事士) 月収27万3000円/月給18万円+残業手当4万…,2020/10/30
関西警備保障株式会社,【警備の基本から研修！未経験でも安心スタート◎】工場内の受付・防災警備のお仕事をお任せ※まずは日勤のみでOK。徐々に夜勤・全日もお任せ,★転勤なし★マイカー・バイク通勤OK ★「諏訪ノ森駅」から車5分 ■大阪府堺市西区築港浜寺町,,【スキルや経験は一切不問！未経験大歓迎♪】◎意欲・人物重視の採用◎20～40代活躍中◎プライベートも充実できる好環境,■月給20万円以上＋各種手当 ※試用期間2〜3ヶ月（試用期間中は契約社員。期間終了後は正社員として雇用…,2020/11/12
