会社名,仕事内容,勤務地,初年度年収,対象となる方,給与,情報更新日
株式会社ライジングサンセキュリティーサービス,【施設での出入管理などの警備・受付業務等をお任せします！】★資格取得を全面サポート！★社宅や寮を完備なので、通勤も楽々です♪,＜茨城県ひたちなか市・水戸市・つくば市・土浦市の各現場＞ ※ご希望に応じて配属現場を決定します ※…,300万円～500万円,【シニアや育児中のスタッフも活躍中！】学歴・経験・性別・年齢も一切不問。ご応募いただいた方とは全員との面接をお約束します！,月給24万円〜40万円 ※時間外手当は別途支給 ※上記はあくまでも最低補償額。勤務地によって異なります。…,2020/11/24
株式会社ビッグモーター,【20代の女性活躍中♪】来店されたお客さまの受付、データ入力、電話対応などをお任せします。,☆転勤なし！全国募集＆勤務地は希望考慮♪ ☆オープニング募集あり！ ☆マイカー通勤OK♪ ■宮城県…,300万円～550万円,【未経験・第二新卒歓迎！学歴不問＆年齢不問♪】＼人柄重視！クルマの知識も問いません！／ ★大手ならではの嬉しい福利厚生♪,【東京・千葉・埼玉エリア】 ◆月給25万3600円〜38万5200円 ＋ 賞与年2回 ＋ インセンティブ ＋ 諸手当 …,2020/11/24
ケイアイスター不動産株式会社,＜★年齢や経験問わず、スピーディーに成長＆キャリアUPできる↑＞ 分譲住宅の購入を検討しているお客様に最適な住まいの提案等を行うお仕事です。,★各営業所（埼玉・茨城・栃木・群馬）に配属となります。 ★マイカー通勤OK！駐車場も完備しています…,400万円～700万円,＜★未経験・第二新卒歓迎！学歴不問！＞ ◆要普免（AT限定可）※大きな夢を持って仕事に取り組める方を歓迎！残業月20h程・完休2日などメリハリ◎,月給21万円〜24.5万円 ＋歩合給＋各種手当（役職・家族・資格等）+ 昇給・賞与 ※経験・年齢を考慮し、当…,2020/11/24
DSP株式会社,研修後【営業・広報・人事・総務・経理など】いずれかにてお仕事スタート!★やりたいことを一緒に見つけていきましょう☆,★転勤なし/希望勤務地考慮/UIターン歓迎 <本社又は各拠点、プロジェクト先> ■東京都 大田区/…,400万円～1000万円,【学歴/経歴一切不問！完全未経験・第二新卒も歓迎！】★ご自身のスキルに自信がない方もぜひご応募ください！当社は全力でサポートしていきます！,月給22万円〜50万円 ※上記に固定残業38時間分(4万9千円〜)を含む。超過分は別途支給。 ▼福岡県・熊本…,2020/11/25
株式会社ファミリー工房,【能力と実績を待遇面にしっかりと反映！】 ◆経験とスキルを考慮した上で【リフォーム営業/不動産営業/施工管理/建築士】いずれかをお任せします,本社・世田谷支店のいずれかに勤務！（希望勤務地は考慮♪） ■足立本社／東京都足立区大谷田4-1-2…,450万円～850万円,【成長企業の中心メンバーとして活躍！】 ◆【リフォーム営業/不動産営業(仲介・売買)/建築施工管理/建築設計】※いずれかの経験をお持ちの方,月給35万円〜60万円 ※経験・年齢・能力・前職給与を考慮の上、決定いたします。 ※試用期間6ヶ月有（期…,2020/10/27
Rセキュリティ株式会社,【キッチン・洗面台等の上水道関連が多数】水回りのトラブルを抱えるお客様をレスキュー！★『水の学校』で基礎から学べるからスタートアップも安心！,★希望勤務地へ配属！ ★品川/難波/名古屋/新小岩/八王子/神戸/福岡のいずれかで勤務！ 【品川本…,450万円～550万円,"【""先輩全員""が未経験からのスタート！】学歴・職歴不問★未経験／第二新卒／フリーターの方まで幅広く歓迎★飲食/警備/営業/SEなど先輩の前職も多彩",月給25万円以上＋インセンティブ(歩合)＋シフト手当＋営業手当 ★年収1000万円可能 ★平均月収45万9809円…,2020/11/24
株式会社ビッグモーター,【残業ほぼナシ／月8～10日休み】ご来店されたお客様のご案内やパソコン入力、電話対応などをお任せ。事務も接客もほど良く楽しめます♪,☆転勤なし！全国に勤務地あり！勤務地は希望考慮 ☆マイカー通勤OK ■宮城県名取市 ■東京都多摩市…,300万円～550万円,【第二新卒歓迎／経験不問／年齢不問】■高卒以上 ☆育休産休取得&復帰実績多数あり！◎事務や接客の経験、クルマの知識も一切不要！,"【東京・千葉・埼玉エリア】 ◆月給25万3,600円〜38万5,200円 ＋ 賞与年2回 ＋ インセンティブ ＋ 諸手当…",2020/11/24
株式会社早稲田学習研究会,小・中・高校生いずれかの授業を担当します。生徒一人ひとりをしっかりと見つめ、志望校合格に向けて全力を尽くします。,群馬・栃木・埼玉・東京 ★面接時の交通費は全額会社が負担します。 【群馬県】 太田市、前橋市、高崎…,540万円～800万円,【業界未経験者を求めます！】★教員免許不問・異業種出身者が多数活躍中！★一見すると何も関係がない業界の方が、その経験を活かしています。,月給40万円以上★賞与60万円〜400万円(2019年度実績) --------------------------------------------- ※…,2020/11/24
株式会社エヌ事業hoop,【景気に左右されない安定した業界！】ハウスメーカーや不動産企業などへの法人営業をご担当いただきます【ほぼ定時退社でオフも充実！メリハリ◎】,★駅徒歩1分！通勤便利！ 東京都練馬区関町北2-24-13　銀雅パレス2-406,400万円～600万円,【未経験OK◆学歴不問◆人柄＆意気込み重視の採用】★20～30代活躍中！★なんらかの営業経験 or 建設業界での経験がある方はなお歓迎！,月給23万円〜35万円＋歩合・手当 ※試用期間3ヶ月あり（待遇に変更なし） ※上記の給与には固定残業代（…,2020/11/24
株式会社トップ,【 教育体制に自信あり!! 】◆企業やお店へ、通信・OA機器や防犯セキュリティシステム、LED照明などのご提案をお任せします。,希望を考慮し、適性により配属決定 東京都港区/新宿区/品川区/豊島区/町田市/立川市/横浜市 さい…,350万円～1000万円,【 未経験・第二新卒歓迎 】◆40歳までの方※ ◆要普免（AT限定可）◆新しいことに挑戦し、チャンスを掴みたい方を大歓迎！※20代~30代が中心に活躍中,月給26万5000円以上＋インセンティブ＋賞与＋通勤交通費（月最大10万円まで） ※成果次第で随時、昇給・…,2020/11/24
i-CREW株式会社,【日中作業が中心】既存顧客先(法人)の空調設備の定期メンテナンスや修理をお任せ。★スケジュール管理がしやすく、自分のペースで働ける◎,★転居を伴う転勤なし！ ★U・Iターン歓迎！ ★マイカー・社用車での通勤OK！ ◆本社／大阪府大東…,,【未経験・第二新卒も大歓迎！】◆要普通免許 ◆学歴・経験や就業ブランクは問いません！★20代の若手が活躍中！異業種出身者も多数活躍しています◎,◆月給：25万円〜50万円+諸手当 【モデル月収例】 月収80万円／入社3年目・インセンティブ含む ※年齢…,2020/11/17
株式会社ガリレオコーポレーション,◎営業／ノルマなし・ご案内業務が中心！成約時にはインセンティブを支給します　★社宅完備！U・Iターン希望者も歓迎します！,福岡、北九州、飯塚、熊本、鹿児島のいずれか勤務地 ★転勤なし ★初回の配属は原則本社（福岡市）にな…,500万円～2000万円,《 未経験、第二新卒や2020年卒業予定の方も大歓迎 》 ◎年齢・学歴・男女不問　★採用は意欲や人柄重視で行います。 ★内定まで2週間,【一般社員】 月給25万円〜　+　インセンティブ　となります。 【支店長候補】 月給50万円　＋実績手当 …,2020/11/10
積水ハウス不動産関西株式会社,【不動産の売買仲介業務をお任せします】メインは積水ハウスの物件。グループの強力なネットワークを活かした、スムーズな営業活動が可能です。,【大阪・兵庫・京都・滋賀・奈良・和歌山の各拠点】 ★関西エリアのみ！関西に根差して働けます ★U・…,400万円～700万円,◆宅地をお持ちの方 ◆要普通自動車免許（AT限定可）◆ハウスメーカー・不動産売買の経験がある方は優遇します【20～30代の社員が活躍中！】,"◆月給30万円〜＋賞与年3回 ＜モデル年収＞ 32〜33歳 980万円 41〜42歳 1,190万円 ※上記は各年齢の営業…",2020/11/13
株式会社坂本電気設備,【大学やテレビ局など多彩な実績あり！】大阪を中心とした電気設備工事をお任せします　★終わり次第で早上がりOK ★2～3名のチーム制で安心！,【転勤なし／最寄り駅から徒歩5分】 ◆大阪府大阪市城東区関目3-16-18 ※U・Iターン歓迎 ※…,300万円～500万円,【育成枠採用！⇒未経験・第二新卒・はじめての正社員・社会人デビューも大歓迎】◎要普通免許(AT限定可) ★面接1回・TEL問合せOK,月給22万円〜 ＋諸手当(家族・住宅・資格・職長手当など)＋賞与 ※前職給与を考慮します ※年齢・経験…,2020/11/24
KUROFUNE＆PARTNERS株式会社,ブランド品の査定・買取を行う営業をお任せします。★完全反響だから提案に専念できる！★未経験でもプロになれる安心のスタートアップとフォローあり,◎全営業所車通勤OK！ ◎交通費支給！◎転勤なし！ ■岡山営業所＊2020年10月新規オープン＊…,480万円～700万円,《未経験者・経験者ともに歓迎します！》要普通自動車運転免許(AT可）◆先輩の前職も多彩◆若手メンバーが活躍中,月給30万円〜60万円＋歩合 ※経験・能力等を考慮の上、当社規定により優遇します。 ※試用期間1〜6ヶ月あ…,2020/11/24
サングローブ株式会社,◆完全オフィスワーク◆仕事のやり方から服装まで「自分らしさ」を大切に！自己裁量が大きい環境で【最先端Web集客支援】サービスをご提案します。,転勤なし／東京（新宿）もしくは大阪（梅田）支社勤務 ※勤務地、面接地をご自身でお選びいただけます…,350万円～1000万円,【未経験の方、大歓迎！将来の管理職候補】【20～30代活躍中】★社会人経験をお持ちの方 ★営業・テレマーケティング経験者は歓迎します！,【1.営業経験者】 月給35万円〜 【2.Webインサイドセールス営業経験者】 月給52万円〜 【3.営業未経験…,2020/11/10
株式会社ライジングサンセキュリティーサービス,【危険な業務は一切なし！】＊埼玉・浦和美園の大型ショッピングセンターに常駐し、施設全体やお客様の安全を守ってください＊交通誘導もあります！,◆川口市または浦和美園駅近くの大型商業施設 ◆埼玉県内の各現場 ※直行直帰となります！ —★I／U…,300万円～600万円,【書類選考なし！面接保証】人物面重視の採用だから、全員と面接します★年齢・学歴・職歴・ブランク全部不問です★屋内だから環境も快適！,月給23万〜26万円 ※時間外手当は別途支給いたします —★お祝い金あり★ マイナビ転職からご応募いただ…,2020/11/24
UTエイム株式会社,＜面接1回＞家電・半導体分野において、データ管理・部品の手配・生産状況確認等を担当。作業マニュアル有！年間休日190日以上も可能♪,【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…,300万円～500万円,【学歴・経験・転職回数は一切不問】未経験歓迎！★年休190日のエリアも有／超スピード選考⇒『年内には転職したい！』そんな方はぜひ！,月給20万〜42万円 ※勤務地により異なります ※経験・能力などを最大限考慮して決定します ※試用期間…,2020/11/10
株式会社ホリコシ産業,【100％中途入社｜作業着・社用PC・社用車は会社支給｜スピード昇進可能】ガス・空調・水廻り・電気などのライフラインにお困りのお客様をサポート！,【転勤なし】【マイカー通勤OK】【U・Iターン歓迎】 本社／静岡県浜松市北区根洗町16-3 ＜Po…,300万円～500万円,"【学歴・性別・営業経験も一切不問の""ヤル気""採用】応募条件：普通自動車免許(AT限定可)のみ！向上心を持って取り組める方、ぜひご応募ください！",月給：20万円〜37万円 ※年齢、経験、能力を考慮の上、優遇します。 ※試用期間6ヶ月あり（期間中の待遇…,2020/11/24
ECO信頼サービス株式会社,★全国TVCMで高い認知度！パナソニック正規認定特約店★ 蓄電池、太陽光発電、オール電化など、創エネと省エネに関する商品の提案業務です。,千葉支店／千葉県木更津市富士見2-3-13 「木更津駅」より徒歩10分以内 ※U・Iターン歓迎,350万円～4000万円,【 千葉で稼ぎたい仲間を募集 】▼社会人デビューも、初めての営業職へのチャレンジもOK！▼学歴不問！意欲や人柄を重視した採用です,月給27万〜89万円 ※上記に加え、歩合給、賞与（年4回）、賞金（年6回）が支給されます。 ※固定残業代含…,2020/11/19
エムケイホールディングス株式会社,【内定まで最短1週間！スピーディーに入社可能】高級ハイヤーでの観光案内や送迎 ★お客様は予約中心だから、業界トップクラスの高収入が叶う！,【勤務地は100%希望制】 ※転勤なし ※京都・滋賀・愛知・北海道内のいずれかの営業所 ※マイカー…,400万円～700万円,【未経験・第二新卒歓迎】未経験スタートの先輩・女性も活躍中／要普免（二種不要）／社会人未経験も歓迎／ブランクOK／週休2日制（月間8日休み）,京都エリア 昼勤　月給25万円以上 夜勤　月給30万円以上 交替勤務　月給28万円以上 ※研修期間（4週間）…,2020/11/10
株式会社ミュゼプラチナム,《ノルマなし》ご来店されたお客さまへのカウンセリングやお手入れ、ミュゼコスメのご提案をお任せ★約3カ月の研修あり★美容の資格も取得できる,◎会社都合による転勤はありません◎ ★あなたの希望エリアで働けます。 ★全47都道府県に店舗あり！…,350万円～450万円,《美容業界未経験も歓迎★平均年齢27歳★同期入社多数♪》◆29歳までの方(※)「人と話をすることが好き」「美容やコスメが好き」という方は歓迎！,【1】月給24万円以上 東京/神奈川/埼玉/千葉/茨城/静岡/山梨/ 岐阜/愛知/三重/滋賀/大阪/京都/奈良/兵庫…,2020/10/28
ECO信頼サービス株式会社,★全国TVCMで高い認知度！パナソニック正規認定特約店★ 蓄電池、太陽光発電、オール電化など、創エネと省エネに関する商品の提案業務です。,大阪支店／大阪府茨木市双葉町10−1 茨木東阪急ビル4F 「茨木市駅」より徒歩1分以内 ※U・Iタ…,350万円～4000万円,【 大阪で稼ぎたい仲間を募集 】▼社会人デビューも、初めての営業職へのチャレンジもOK！▼学歴不問！意欲や人柄を重視した採用です,月給27万〜89万円 ※上記に加え、歩合給、賞与（年4回）、賞金（年6回）が支給されます。 ※固定残業代含…,2020/11/19
株式会社アクアライン,【 直行直帰！自由業の様な働き方 】お客様宅を訪問し、水回りのメンテナンスや修理、部品交換に伴う提案をお任せします★集客とアポ調整は本部が一括,全国各地へ配属し、自宅から現場への直行直帰となります！ 社用車貸与だから通勤ラッシュに悩む必要なし…,,【40代以上の社員も多数活躍しています！】◆要普免(AT限定可)★年収700万円超の社員も多数！【応募後は、最短で当日ご連絡します】,【日勤】 (A)月給30万円〜 (B)月給28万円〜 (C)月給25万円〜 (D)月給23万円〜 (E)月給21万円〜 ※固定残…,2020/11/25
光電気工事株式会社,▼希望や適性に応じて[ 施工管理 ]or[ 電気工事スタッフ ]をお任せします。《 未経験・経験者から転職先に選ばれている実績あり！》,【 2019年完成の新社屋で働ける／転勤無し／マイカー通勤OK 】 …名古屋市北区三軒町234番地…,300万円～650万円,▼電気工事 や 建築業界における施工管理、電気工事スタッフの経験者歓迎！ 《 転職して良かった！そんな先輩の声多数！ 》,月給22万円〜50万円（一律手当含む） ※上記月給は、経験、能力、年齢に応じて決定します。 ※経験者は前…,2020/11/20
エーアイアールグループ合同募集,【100％反響営業★営業デビュー歓迎】お客様のご希望のお部屋探しをお手伝い♪ ★安心のチーム制 ★研修制度も充実 ★評価制度がクリア ★ノルマなし,【★積極採用中⇒池袋店/品川店/横浜店/新宿店】 ☆転居を伴う転勤なし ☆全店舗最寄駅より5分圏内…,450万円～1000万円,【応募条件を満たす方は全員面接確約！】未経験歓迎★40歳までの方★学歴不問★社会人経験ゼロの方OK★先輩の95%は未経験入社 ※宅建保有者優遇,"【各社共通】 月給24万5,000円~月給40万円 ＋ インセンティブ ＋ 賞与 ＋ 諸手当 ※経験やスキルに応じ…",2020/11/06
株式会社アール・エム,【最短“11ヶ月”での課長昇進・“新卒入社3年目”での課長昇進(2名)実績あり！】◎企業のビジネス課題を解決に導くWEBの企画提案をお任せします。,《希望以外の転勤なし／UIターン歓迎》 大阪・東京・福岡の各拠点のいずれかに配属します。 【大阪本…,400万円～700万円,【履歴書不要！“35歳以下”の方なら全員面接を行います！】◎学歴不問 ※努力が報われる会社を探している方・チャンスが欲しい方は、ぜひご応募を！,月給25万円＋インセンティブからスタート ※固定残業代5万5900円(40時間分)含む。 　時間超過分は追加…,2020/11/06
株式会社リプロ,【未経験でも2件に1件は成約！】分譲マンションに特化したバス・キッチンのリフォーム提案◆成約に結びつく理由あり◆残業月平均20H／年間休日120日,＊直行直帰の営業スタイル 【営業エリア】 神奈川県、埼玉県、千葉県、東京都の一都三県 【本社】 神…,500万円～1000万円,◎未経験OK！普免あれば尚可 ◆飲食・サービス業や不動産、製造業などからの転職者が多数活躍中 ◆週3日から勤務日数の相談OK！待遇も変わりません,"月給25万円以上＋インセンティブ ※固定残業代45時間分／74,618円〜を含む。超過分別途支給 ※試用期間6…",2020/11/25
株式会社ファミリーコーポレーション,【不動産建築、賃貸経営、駐車場経営、売却など、多彩なソリューションを提案】土地オーナーさまのニーズに応じてベストな土地活用プランを提案します,＊--アクセス抜群！『新橋駅』から徒歩3分の好立地--＊ ☆転勤なし 東京都中央区銀座8-5-6…,420万円～1000万円,【土地活用の営業経験者、歓迎！】◆建築営業の経験3年以上◆土地活用に関する幅広い知識を身につけたい方は大歓迎です！★9連休前後の長期休暇年3回,月給:35万円〜＋ インセンティブ ※経験・年齢・能力を考慮のうえ、決定致します。 ※待遇条件の詳細に…,2020/11/06
株式会社山王,【 営業なのに！販売や提案は無し 】あなたの仕事は商品説明だけ！　★ご紹介する商材は、省エネプランやエコ商品、電気自動車、リノベーションなど,本社（福岡市中央区）または福岡市早良区、福岡市博多区 ★転勤なし ★マイカー通勤OK（福岡西営業所…,500万円～2000万円,【営業未経験、社会人デビュー、正社員デビューも大歓迎】◎要運転免許　◎男女不問　◎45歳までの方（※）　★イチから学べる教育研修あり,月給25万円　+　インセンティブ ※待遇条件の詳細については、面接などでご相談ください。 ※有資格者に…,2020/10/23
UTエイム株式会社,【年間休日127～190日・無理なく働ける！】 医薬品や半導体分野における生産ラインでの組み立て、加工、箱詰、在庫確認業務などを担当。,【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…,300万円～500万円,【40～50代も多数活躍中】未経験OK！「今より稼ぎたい方」方へオススメ＜スピード選考！今月中の内定獲得を！※面接1回・私服でOK(履歴書不要)＞,月給20万〜30万円 ※勤務地により異なります ※経験・能力などを最大限考慮して決定します ※試用期間…,2020/11/18
DSP株式会社,【裁量大きく、自由度高く活躍！】人材コーディネーターとして新規クライアントの拡大と登録スタッフ増員をお任せしていきます。,【東京・大阪・北海道・宮城・福岡のいずれかで勤務】 ★転勤なし！ 【本社】 東京都港区西新橋1-6…,350万円～1000万円,【人材業界経験をお持ちの方をとことん優遇！】※求人広告営業、人材派遣、人材紹介、人材コンサルティング等の経験をお持ちの方は優遇いたします。,"月給／30万円〜 ＋ インセンティブ ★""前職の給与以上""を保証します。 　そこに経験・能力等を考慮し加給…",2020/10/23
JCSロジスコ株式会社,◆大手ネット通販の品物を、個人宅・企業へ配送します。★ご自身の理想のペースで稼げる環境です！ （※加盟金・違約金は不要です）,原則自由 【募集エリア】 東京・神奈川・埼玉・千葉・栃木・茨城・群馬・福島・富山・石川・新潟・長野…,300万円～1000万円,【ドライバー経験不問・社会人経験不問・学歴不問！ ◆第二新卒・失業中の方・フリーターの方も大歓迎です】◎普通自動車免許をお持ちの方（AT可）,完全出来高制（1個あたり150〜250円 ※エリアによる／平均日当3万円） もしくは 固定制（日当1万5千〜2万…,2020/11/20
株式会社グルメ杵屋,【手厚い教育体制！異業種からの転職者も多数◎】「杵屋」「そじ坊」「シジャン」など、人気店の店舗運営をお任せします。,■全国（関西・関東・東海・北陸・中国・四国・九州）にある各店舗 ＜全国312店舗の各店舗にて募集＞…,300万円～400万円,【学歴・性別は一切不問！】＼20～40代まで幅広い年代がバランスよく活躍しています◎／ 早くて1年～1年半での店長昇格が目指せます！※経験者優遇,【未経験者】月給20.5万円〜 ＋ 各種手当 【経験者】月給25万〜40万円 + 各種手当 ※経験・年齢を考慮…,2020/11/20
大同生命保険株式会社,【 平均月給43.4万円 】企業に向けて福利厚生制度を充実させるためのご提案を行います。,【転勤なし】全国の47都道府県の支社 ＜北海道・東北＞ 北海道、青森県、岩手県、宮城県、秋田県、山…,,【業界未経験者歓迎 】社会人経験をお持ちの方(業界・業種・年数は一切不問),初任給 月給16万〜25万円＋諸手当(地域・能力により異なる) ※試用期間2ヶ月あり（条件変更なし） ＜＜ …,2020/11/20
UTエイム株式会社,＜業務マニュアル有・難しい仕事はありません＞医薬品/食品/家電/高級車など担当分野はあなたの希望にあわせてご紹介！梱包・検品業務を担当！,【転勤なし】全国40都道府県に配属！（全国各地に勤務地あり） <勤務地一覧> ■北海道 ■東北・北…,300万円～500万円,【学歴不問】未経験歓迎！「好きな地で長く働きたい」「高収入を目指したい」「ちゃんと休みたい」「難しくない仕事が希望！」そんな希望もOK！,月給20万〜42万円 ※勤務地により異なります ※経験・能力などを最大限考慮して決定します ※試用期間あ…,2020/11/06
株式会社ワールドコーポレーション,【北海道・九州・東北増員中】プロジェクトのスケジュール確認・問い合わせ対応などを担当。★土日休み・オフ充実★高収入も可能,★希望勤務地を考慮 ★Ｕ・Ｉターン歓迎 ★北海道・東北・九州(沖縄含む)エリアのプロジェクト先 <…,350万円～500万円,◆20～30代の男性が中心に活躍中◆経験不問！転職回数も不問です！未経験者大歓迎！未経験から一生モノのスキルが身に付くお仕事です◆面接は1回◆,"■北海道 月給215,000円以上＋各種手当＋賞与年2回 (固定残業手当41,500円/20H分を含む） ■東北 月給21…",2020/11/18
株式会社T-TOP,"【月収50万円以上を実現している先輩が多数！】大手電力会社や大手ホームセンターの""顔""としてサービスを提供します。※安心のフォロー体制あり！",※名古屋限定採用／U・Iターン歓迎／転勤なし！ ◆名古屋支店／愛知県名古屋市中川区高畑5-87 ◎…,,【性別・学歴不問】◆40歳以下の方(若年層の長期キャリア形成を図るため) ※異業種・営業未経験の先輩も多数活躍中 ※地元に根付いて働きたい方歓迎,◆完全週休2日制／月給25万円〜 ◆隔週休2日制／月給28万円〜 ＜モデル月収例＞ 月収50万円／20代／入…,2020/11/20
株式会社ライジングサンセキュリティーサービス,【福島県内主要駅周辺オフィスビル、商業施設、金融機関等の警備】★無理のないシフト★資格取得支援あり★成果は報酬に還元★バス・トイレ付の寮完備,★福島エリアの各施設または下記支社★ ※転居を伴う、転勤はありません！ ※希望を考慮の上、配属を決…,300万円～600万円,【未経験者歓迎／年齢を気にせず応募可能／学歴・年齢不問】★担当施設へ直行直帰もOK！★人柄・意欲重視の採用！応募者全員とお会いします！,月給28万円以上 ※時間外手当は別途支給 ※上記はあくまでも最低補償額。勤務地によって異なります。 ■…,2020/11/20
株式会社ファミリーコーポレーション,【「売る」ではなく「買う」営業】◆不動産仲介会社などから売却の情報収集を行い、不動産を仕入れる仕事★年3回、9連休前後の休暇有,＊--アクセス抜群！『新橋駅』から徒歩3分の好立地--＊ ☆転勤なし 東京都中央区銀座8-5-6…,420万円～1000万円,「商品力」ではなく「人間力」で勝負【異業種出身が多数活躍】◆法人営業の経験（業界不問）◆実績が収入やポストに直結する仕事に挑戦したい方を歓迎,月給:35万円〜＋ インセンティブ ※経験・年齢・能力を考慮のうえ、決定致します。 ※待遇条件の詳細に…,2020/11/06
株式会社ワールドコーポレーション,【こんなにも早く転職できるなんて！という声が多数！】各プロジェクト先にて、資材管理業務全般をお任せ★土日休み・年収600万円以上も可能,★希望勤務地を考慮 ★Ｕ・Ｉターン歓迎 ★全国47都道府県のプロジェクト先(首都圏・東北・関西・中…,350万円～500万円,◆20～30代の男性が中心に活躍中◆経験不問！転職回数も不問です！未経験者大歓迎！『年収面でもっと周りに差をつけたい…』そんな方は是非！,"■関東 月給226,000円以上＋各種手当＋賞与年2回 (固定残業手当32,000円/20H分を含む) ■関西/中四国 月…",2020/11/25
株式会社アーキ・ジャパン,大手ゼネコンや官公庁中心の建設プロジェクト（建築・土木・設備・電気・プラント）の施工管理業務。20～50代の幅広い年代が多数活躍中！,全国47都道府県（首都圏・中部・関西・中国・四国・北陸・東北・北海道・九州）の各プロジェクト先 ※…,600万円～1000万円,◆学歴・年齢不問 ◆施工管理の経験（年数不問／派遣会社・ゼネコン・メーカなど様々な業界からの転職者が多数在籍） ◆ブランクOK,◆月給45万1040円〜 ※一律支給の手当、40時間分の固定残業代 9万円〜を含む ※超過分は別途支給します。…,2020/11/20
株式会社エム・シーネットワークスジャパン,【ノルマなし／完全予約制★プロから学べる研修】脱毛サロンスタッフとして、お手入れのほかに受付や事務業務もお任せします。★『全身脱毛』無料！,★転勤なし 東京 東京都渋谷区:渋谷109前店 など 東京都港区:表参道店 東京都中央区:銀座本店…,300万円～500万円,【未経験・第二新卒歓迎】◆39歳までの方 ★お休みも収入も、どちらも諦めたくない方は是非！★産休/育休取得率100％ ★平均年齢27歳,"【愛知/岐阜】月給25万5,000円以上 【東京/神奈川/千葉/大阪/兵庫】月給24万5,000円以上 【その他】月給2…",2020/11/20
UTエイム株式会社,【好きな地でライフプランを設計したい方にオススメ！】モクモク＆コツコツ作業が中心！★スキルや経験がなくても安心して始められるお仕事です！,転勤なし／全国40都道府県に配属 ☆社員寮あり(社宅費無料あり※一部住宅手当で支給・規定あり) <…,300万円～500万円,《履歴書・職務経歴書不要です！》未経験や社会デビュー・ブランクのある方も大歓迎！人付き合いが苦手でも大丈夫◎ ★年休127～190日 ★面接1回,月給20万〜42万円 ※勤務地により異なります ※経験・能力などを最大限考慮して決定します ※試用期間…,2020/11/20
日研トータルソーシング株式会社,製造現場での様々な仕事の中から、製品の組み立て・検査や工場内の機械の操作等の業務をお任せします。【あなたの希望や適性を最大限考慮】,*◆ 希望を考慮のうえ、全国46都道府県に配属！ ◆* ☆転勤なしもOK！面接時にご相談ください。…,350万円～600万円,《本当に履歴書の内容は問いません！》★学歴・経験・転職回数など不問 ★未経験や社会人デビューも大歓迎！★20～40代で入社した社員が多数活躍中！,月給20万円〜41万円＋残業手当（100％支給）＋賞与2回 【月収例：入社1年目】 月収30万円(月給23万円+…,2020/11/19
日研トータルソーシング株式会社,製品の組み立て・検査や工場内の機械の操作等、あなたの経験・スキルに合わせて、できる業務から少しずつお任せします。,*◆ 希望を考慮のうえ、全国46都道府県に配属！ ◆* ☆転勤なしもOK！面接時にご相談ください。…,350万円～600万円,◎社会人経験をお持ちの方 ★学歴・経験・転職回数など一切不問 ★未経験者大歓迎 ★20～40代で入社した先輩も多数活躍中！,月給20万円〜41万円＋残業手当（100％支給）＋賞与2回 【月収例：入社1年目】 月収30万円(月給23万円+…,2020/11/19
UTエイム株式会社,【社宅無料の案件多数】工場内や物流センターで簡単な機械操作・チェック⇒ボタンを押すだけ！その他、完成品のピッキング・仕分け等 ★年休最大170日,転勤なし／全国40都道府県に配属 ☆社員寮あり(社宅費無料あり※一部住宅手当で支給・規定あり) <…,300万円～500万円,＜履歴書・職務経歴書不要⇒学歴・経験など不問＞「アルバイトしかしたことがない…」「一人でモクモクと働きたい…」そんな方でも大丈夫！★面接1回,月給20万〜42万円 ※勤務地により異なります ※経験・能力などを最大限考慮して決定します ※試用期間…,2020/11/20
株式会社ワールドコーポレーション,【新たなスタートダッシュを！】プロジェクト先にて点検・保守業務や管理業務全般を担当 ★土日休み・オフも充実♪年収600万円も可能,★希望勤務地を考慮 ★Ｕ・Ｉターン歓迎 ★全国47都道府県のプロジェクト先(首都圏・東北・関西・中…,350万円～500万円,◆20～30代の男性が中心に活躍中◆経験・転職回数不問！未経験者歓迎！『安定した環境でプライベートも充実させたい』そんな方は是非！,"■関東 月給226,000円以上＋各種手当＋賞与年2回 (固定残業手当32,000円/20H分を含む) ■関西/中四国 月…",2020/11/18
JTA株式会社 | 【20代で年収1000万円超えの社員続出中！】◆土日休み◆転勤なし,【高率インセンティブ＋随時昇給で“年収1000万円以上”も実現可能です！】◆一般のお客様へKDDIの高速通信サービスをご案内します。◆成約率80％以上,★転勤なし ★渋谷本社または各支店、全国各拠点 ★希望の拠点で働けます 【本社/支店】 ◆渋谷本社…,500万円～1000万円,【自分自身を変えるキッカケがここに―！“プロ級の営業スキル”が身につきます！】◎35歳までの方全員と面接◎未経験・第二新卒の方歓迎します,月給25万円以上＋高率インセンティブ＋随時昇給 ※上記はあくまで最低保証給です。 ※経験・年齢を考慮の…,2020/11/24
