会社名,仕事内容,勤務地,初年度年収,対象となる方,給与,情報更新日
大和ライフネクスト株式会社,【充実の研修有&年間休日123日！】当社営業所での事務業務をお任せします。～勧誘業務はありませんのでご安心ください～,【希望エリアを最大限考慮】 ※下記いずれかのオフィス ・本社(東京都港区) ・日本橋オフィス(東京…,,《業界未経験者OK／営業・販売スキルを活かせるチャンス》◆新たな環境で「チャレンジしたい！」という方歓迎します！,月給18万円〜＋賞与年2回 ＜モデル年収＞ 5段階の等級制度を設けています。 スキルや実績に応じて、ス…,2020/12/22
株式会社ロイヤルサービス,【日勤か夜勤を、希望で選べる♪】食品や一般貨物のルート配送をお任せ。2t/4t車を使います★,埼玉県春日部市不動院野2880-1 ※マイカー通勤OK！ ※転勤なし,,【条件該当者全員と面接！】未経験の方も一からしっかり教えます！[必須]中型免許★年齢・経験・学歴不問★幅広い年齢の方、異業界出身の方も活躍中♪,【月給】26万円〜30万円 ※経験や年齢、スキル・能力に応じて、当社規定より優遇 ※試用期間中(2週間〜2…,2020/12/22
株式会社シバンス,【農業に特化した土木施工管理】設計に関することから、打ち合わせ・施工管理・施工後の報告など、プロフェッショナルとして携わっていただきます！,北海道札幌市中央区北4条西4丁目　ニュー札幌ビル5F ※転勤なし ※U・Iターン歓迎,,【応募条件】・1級土木施工管理技士　★農業土木の経験をお持ちの方はなお歓迎　★前職での収入も考慮しますのでお気軽にご相談ください！,"月給250,000円〜360,000円 ※能力・経験・資格などに応じて決定いたします。 ※一律手当含む。 ※試用期…",2020/12/22
株式会社プロスペリティ・ナーシングサービス,【一人ひとりにもっと向き合ったケアをしていきませんか？】訪問看護サービスを契約している利用者様のご自宅を訪問・ケアを行います。,【転勤なし／UIターン歓迎】 [訪問看護ステーションまごころ] 岩手県盛岡市三ツ割2丁目5-7 千…,,【年齢不問／男女不問】[条件]◆看護師資格をお持ちの方 ◆普通自動車運転免許（AT可）☆訪問看護未経験の方も大歓迎です！,月給：24万円〜30万円 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3ヶ月あり（同条…,2020/12/18
北海道日通プロパン販売株式会社,【LPガスの夜間出動スタッフ】★夜間のガス・灯油に関するトラブルに対して出動するお仕事！ ★出動にならず電話で解決する場合もあります！,札幌営業所にて募集 【勤務地】 北海道札幌市西区二十四軒4条1丁目1-8,,★液化石油ガス設備士の資格をお持ちの方 ★高卒以上・普通自動車運転免許,日給12000円＋出動手当(1回2000円),2020/12/18
日本原燃株式会社,【再処理工場における環境分析業務】★エネルギーの長期安定供給を担うやりがいの大きい仕事です！,【原則転勤なし／無料送迎バス有り／U・Iターン歓迎】 青森県上北郡六ヶ所村大字尾駮字沖付4番地10…,,【いずれかに当てはまる方】［工場において、生産管理または品質管理の経験がある方］もしくは［化学関連の分析・評価業務の経験がある方］※高卒以上,"■高校・高専・専門・短大卒／月給：16万7,300円以上 ■大卒／月給：21万3,000円以上 ■大学院卒／月給：…",2020/12/15
日本原燃株式会社,【再処理工場における、設備保全・管理・メンテナンス】教育のカリキュラムがしっかり整っています！ ★1000名近い体制で業務を進めています,【原則転勤なし／無料送迎バス有り／U・Iターン歓迎】 青森県上北郡六ヶ所村大字尾駮字沖付4番地10…,,【いずれかの経験をお持ちの方】[電気／計装／機械保全および工事業務実務] もしくは [設備の運転管理実務] ★エネルギー問題解決に貢献！※高卒以上,"■高校・高専・専門・短大卒／月給：16万7,300円以上 ■大卒／月給：21万3,000円以上 ■大学院卒／月給：…",2020/12/15
日本原燃株式会社,【複数名で協力して業務を進めております】原子燃料サイクルにおける、再処理施設の放射線管理・環境分析・放射性廃棄物処分場の運用など,【原則転勤なし／無料送迎バス有り／U・Iターン歓迎】 青森県上北郡六ヶ所村大字尾駮字沖付4番地10…,,【放射線管理 または 放射線計測機器の点検や校正の実務経験がある方】専門性の高い分野で大きなやりがいを感じながら働きたい方、歓迎 ※高卒以上,"■高校・高専・専門・短大卒／月給：16万7,300円以上 ■大卒／月給：21万3,000円以上 ■大学院卒／月給：…",2020/12/15
日本原燃株式会社,【 想像以上の働きやすさ◎ 】原子燃料の再処理工場での施設の計画、設計、建築、積算、定期点検などをお任せします ★年間休日123日／土日休み,【原則転勤なし／無料送迎バス有り／U・Iターン歓迎】 青森県上北郡六ヶ所村大字尾駮字沖付4番地10…,,【 設計・解析業務の知識、業務経験者 】原子力・放射線等の知識・経験がなくてもOK！国家規模プロジェクトに携わるやりがいがあります ※高卒以上,"■高校・高専・専門・短大卒／月給：16万7,300円以上 ■大卒／月給：21万3,000円以上 ■大学院卒／月給：…",2020/12/15
日本原燃株式会社,大規模な開発・改修プロジェクトを数年間かけて推進／設備管理システムなどの基幹システムの開発、テレワークのITシステム構築、セキュリティ対策など,【原則転勤なし／無料送迎バス有り／U・Iターン歓迎】 青森県上北郡六ヶ所村大字尾駮字沖付4番地10…,,【何らかのシステム開発経験がある方（言語不問）】20代の若手から50代のベテランまで、 幅広い層が活躍しています！ ※高卒以上,"■高校・高専・専門・短大卒／月給：16万7,300円以上 ■大卒／月給：21万3,000円以上 ■大学院卒／月給…",2020/12/15
中央化学株式会社,管理間接部門のスタッフとして、定型的・処理的・補助的な事務業務などのバックオフィス業務です。,★東京(大崎)・福岡(福岡)の2拠点で募集。 ★ご希望の勤務地を選べます。 【東京オフィス】 東京…,,《未経験・第二新卒歓迎！》●35歳以下の方※●高卒以上 ●基本的なPCスキル(Word/Excel) ●コミュニケーション力のある方 [男女ともに活躍中です！],"【月給】165,000円〜235,000円 (一律地域手当9,000円含む) ※試用期間2ヶ月あり(期間中は待遇に変動なし…",2020/12/11
中央化学株式会社,【三菱商事のグループ企業】食品容器の製造を行う当社で、IT機器に関する社員からの問い合わせ対応や、業務システム設計・開発をお任せします,【本社】埼玉県鴻巣市宮地3-5-1,,【食品業界をIT分野からサポート】社内SE/ヘルプデスクの経験1年以上 もしくは RPG言語(他言語でも可)でのシステム開発経験5年以上を募集 ※高専以上,"【月給】195,000円〜269,000円 ※試用期間2ヶ月あり(期間中は待遇に変動なし) ※年齢や経験、能力を考慮…",2020/12/04
大洋基礎株式会社,横浜みなとみらい21や六本木ヒルズなど、ビルや公共施設を建てる際の安全管理（作業員の健康チェック・現場確認など）をお任せします。,【転勤なし】東京都中央区日本橋小舟町3-3<<東京メトロ銀座線「三越前駅」より徒歩5分>>,400万円～600万円,"【毎年昇給★1年で月々最大13,000円アップも◎】建設業の安全管理、または建設現場での勤務経験者 ★働きやすい環境づくりに代表自ら取り組む会社です",月給／25万3000円〜＋諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※1級建築施工管理技士、土木…,2020/11/27
株式会社リンクアット・ジャパン,未経験者を3名募集します！自社で行なっている顧客サービスの運用・監視業務です。★未経験者のための研修制度もあります！,在宅勤務実施中！【転勤なし・希望エリアに配属します】 東京本社または東京23区内の各プロジェクト先…,259万円～600万円,【未経験～経験者まで幅広く採用★人物重視】社員の6割が未経験(飲食、営業等)スタート！◎運用・監視、設計・構築・テクサポ経験者は優遇します！,【経験者は前給保証】 《NW/SV設計・構築経験者》 ◆月給30万円以上＋資格手当＋賞与 ご経験・年齢等を考…,2020/11/27
エヌシーイー株式会社,【完全週休2日制でメリハリをもって働けます】道路やトンネル、河川・砂防等、土木施設や構造物の設計・調査をお願いします,【転勤なし】 ◆本社／新潟県新潟市中央区美咲町1-7-25 ※マイカー通勤OK,,【年間休日123日！】◆学歴不問、要普通自動車運転免許（MT）※１級土木施工管理技士等の資格保有者は優遇しますので、ぜひご連絡ください,◆月給25万円〜47万円 ※これまでの経験・能力等を十分に考慮し、当社規定により決定します ※試用期間…,2020/10/30
北海道建物株式会社,【法人メインの不動産営業】各種不動産情報や自社Webサイトなどを通じて問い合わせのあったクライアントに対して各種不動産の売却や購入等の提案営業,【本社】北海道札幌市中央区南三条西6-3-2 ※当面はありませんが、将来的に道内6支店への転勤の可…,360万円～504万円,【ステップアップを目指す方歓迎】［必要条件］◎不動産の売買仲介営業の経験3年以上 ◎宅地建物取引士　★実績に応じて管理職や取締役も目指せます,"月給／225,000円〜315,000円 ※経験・スキルを考慮の上、当社規定により優遇します。 ※試用期間(6ヵ月)…",2020/10/30
空港施設株式会社,空港エリア内のインフラ施設の維持・管理、現場作業立会い業務をお任せします。当社が行うのは発注者業務のため実作業は協力会社に発注します。,「大阪空港」駅より徒歩10分 ■大阪事業所 大阪府池田市空港2-2-5 大阪綜合ビル,380万円～600万円,【業界経験不問】ビルメンテナンス、設備管理、PM業務などに携わったご経験をお持ちの方からのご応募を歓迎します！,月給21万5000円以上+諸手当 ※経験・能力を考慮のうえ決定 ※試用期間4ヶ月間は調整手当の支給なし 上記…,2020/12/21
