会社名,仕事内容,勤務地,初年度年収,対象となる方,給与,情報更新日
東建コーポレーション株式会社,地域のお客さまへの「土地活用の提案営業」です。充実の研修・教育体制があるので、未経験でも全く問題ありません！,◆全国の各拠点 自宅近くの拠点での勤務希望を考慮します。 ※Ｉ＆Ｕターン歓迎！ ※各事業所の詳しい…,400万円～800万円,【業界・営業未経験者歓迎】◆高卒以上／要普免(AT限定可)／さまざまな業界・職種からの転職者が多数！充実の教育・研修があるのでご安心を！,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…",2020/12/25
楽天スーパーロジスティクス株式会社,物流拠点となる楽天フルフィルメントセンターでの現場運営・管理業務。入荷、出荷、在庫管理のほか、経験に応じて業務の改善提案等もお任せします。,★U/Iターン歓迎！ ■千葉県 市川I／千葉県市川市塩浜1-7-2 市川II／千葉県市川市塩浜1-…,,◆高卒以上（社会人経験3年以上）または大卒以上（社会人経験2年以上）の方　※物流業界での経験は必須ではありません【年間休日123日】,"月給：21万9,500円〜＋業績賞与 ※上記には固定残業代(5万2,791円〜／40時間分)を含む。 ※超過分別途支…",2020/12/25
東建コーポレーション株式会社,土地をお持ちのオーナー様に対しての「土地活用の提案営業」です。充実の研修・教育体制があるので、未経験からでも全く問題ありません。,◆全国の各拠点 自宅近くの拠点での勤務希望を考慮します。 ※Ｉ＆Ｕターン歓迎！ ※各事業所の詳しい…,400万円～800万円,◎高卒以上　◎転職回数は不問　◎非正規雇用の方もOK！さまざまな業界からの転職者が活躍中です。,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…",2020/12/25
DSP株式会社,☆データ入力などの事務業務や問い合わせ対応をお任せします。☆先輩が丁寧にサポート！未経験から必要な知識やスキルが身につきます！,《北海道・東京・神奈川・埼玉・大阪・兵庫・福岡で募集中！》 ◎希望勤務地考慮 ◎UIターン歓迎！…,250万円～400万円,＼20代の女性が活躍している職場♪／【未経験・第二新卒歓迎！】◎30歳以下の方 ◎社会人デビューや元フリーターの先輩たちも活躍しています♪,月給20万円〜28万円＋賞与 ※スキルや能力などを考慮の上で、決定いたします。 ※試用期間1〜6ヶ月間あ…,2020/12/25
DSP株式会社,＼同期と一緒にスタートできるから安心です♪／★簡単な電話対応やデータ入力などの事務業務、もしくは問い合わせ対応をお任せします。,【北海道・東京・神奈川・埼玉・大阪・兵庫・福岡で募集中！UIターン歓迎！】 ★駅チカオフィスで通勤…,250万円～400万円,＼学歴や社会人経験不問！完全未経験・第二新卒歓迎！／★30歳以下の方★社会人デビューも歓迎！元フリーターや元ニートの先輩たちも活躍中！,月給20万円〜28万円＋賞与 ★あなたのスキルや能力を考慮して、決定します。 ※試用期間1〜6ヶ月間あり…,2020/12/25
DSP株式会社,☆簡単な電話対応やデータ入力などの事務業務、もしくは問い合わせ対応をお任せします。◎同期と一緒にスタートできるからご安心ください！,＼北海道・東京・神奈川・埼玉・大阪・兵庫・福岡で募集中！／ ◎UIターン歓迎！ ◎駅チカオフィスで…,250万円～400万円,【30歳以下の方！完全未経験・第二新卒歓迎！】◎社会人デビューや元フリーター、元ニートの先輩たちも活躍しています♪※経験は一切問いません！,月給20万円〜28万円＋賞与 ※スキルや能力などを考慮の上で、決定いたします。 ※試用期間1〜6ヶ月間あ…,2020/12/25
株式会社ロジカル,【夜間配送や休日出勤は100％ありません】★決まったルートで生協の組合員さん宅に食品や日用品をお届け★有給を時間ごとに消化OKで自由に働ける◎,＼転勤なし！地域密着で長く働きたい方歓迎／ 【江戸川・横須賀事業所で採用強化中】 ★東京・神奈川の…,350万円～400万円,【未経験でも普通免許があればOKなので始めやすい！学歴・経験・転職回数一切不問】★平均年齢32歳！定昇1回＋人事考課2回＆歩合給で収入アップ実現！,"月給：26万7,823円以上＋諸手当＋歩合給 ※固定残業代8万1,323円以上・月60時間分を含みます（超過分は別…",2020/12/25
東建コーポレーション株式会社,土地をお持ちのオーナー様に対しての「土地活用の提案営業」です。充実の研修・教育体制があるので、未経験からでも全く問題ありません,◆全国の各拠点 自宅近くの拠点での勤務希望を考慮します。 ※Ｉ＆Ｕターン歓迎！ ※各事業所の詳しい…,400万円～800万円,◎高卒以上◎未経験・異業種からの転職歓迎します！今よりもっと安定した環境で収入を上げていきたい方,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…",2020/12/25
株式会社アウトソーシングテクノロジー,＜最新技術・RPAに携われる＞◆未経験・経験の浅い方は研修から！経験者は希望するプロジェクトで活躍！★注目の最先端技術を扱うエンジニアへ成長！,＜転勤・転居なし★お住まいからの通勤圏内！＞ ◆東京都千代田区丸の内1-8-3 丸の内トラストタワ…,300万円～1000万円,＜学歴・年齢・文理・経験不問＞★ITプロジェクトでの業務経験がある方（分野不問）※未経験者・経験の浅い方も意欲重視の積極採用中です！,"◆経験者：月給30万円〜78万円＋各種手当・報奨金 ※上記金額は35時間の固定残業代（月64,015円〜166,425…",2020/12/22
株式会社エー・エス・エル,《AWS/コンテナ/Infrastructure as Code等の注目トレンド案件多数！》◆スキルや志向に応じて開発系orインフラ系の案件で活躍！※自社内開発あり,東京都、埼玉県、神奈川県、千葉県内のプロジェクト先 ※希望、お住まいを考慮の上、決定します。 ※転…,400万円～800万円,《複数名採用予定！》◎学歴不問 ◎ITエンジニアとしての何らかの実務経験（システム・インフラ不問）★転職回数やブランク等も不問です！,月給30万円〜　＋　賞与年3回 ※入社時点で、前職時の給与額を保証します！ ※経験・スキルなどを考慮の…,2020/12/15
富士フイルムソフトウエア株式会社,富士フイルムの医療・医薬・産業機材関連のアプリケーション開発,長崎県長崎市 UJIターン歓迎&WEB面接も対応可能 また、長崎県では移住支援や子育て支援など様々…,500万円～700万円,■ソフトウェア開発における設計・プログラミング経験 ■C#／C＋＋などの言語を用いたプログラミング ■技術リーダーとしてのチームリード経験,月給23.6万円以上　+　諸手当 ※経験・スキルを考慮し、当社規定により加給優遇します。 ※残業代は別途…,2020/12/11
富士フイルムソフトウエア株式会社,◎富士フイルムの医療系製品のアプリケーションおよび組み込みソフト開発をお任せします。,長崎県長崎市 UJIターン歓迎&WEB面接も対応可能 また、長崎県では移住支援や子育て支援など様々…,500万円～700万円,■ソフトウェア開発における設計・プログラミング経験 ■C#／C＋＋などの言語を用いたプログラミング ■技術リーダーとしてのチームリード経験,月給23.6万円以上　+　諸手当 ※経験・スキルを考慮し、当社規定により加給優遇します。 ※残業代は別途…,2020/12/11
DiDiフードジャパン株式会社,《スタートアップメンバー募集》課題を抱える中小規模のチェーン店や個人経営の店舗をリサーチ⇒オーナーにアプローチし、「DiDiフード」の導入提案,《転勤なし・UIターン歓迎・正社員登用制度あり》 【東京・神奈川オフィス】 東京都中央区（Daiw…,400万円～700万円,《スピード感あるキャリアアップが可能》◎営業経験をお持ちの方(業界・年数・性別不問) ◆パッションがある方歓迎！人柄・ポテンシャル重視の採用,月給20万円〜50万円＋インセンティブ 《インセンティブについて》 毎月上長と加盟店獲得件数などの目標…,2020/12/11
株式会社ジャパネットコミュニケーションズ,＼働き方にマッチ！シフトは選べる8タイプ！／「ジャパネットたかた」をご覧になったお客様への電話(受電)対応、顧客データ入力、問い合わせ対応等,≪ 福岡限定採用 ≫※転勤なし！ ★4つのオフィスからご希望の勤務場所を選択いただけます！ ※転勤…,300万円～350万円,未経験の方も安心！転職回数やブランクも問いません♪お客様に寄り添った親切・丁寧な対応ができる方を募集しています！☆最短1年で正社員登用も可能,"月給21万円以上 ※12：00〜21：00、13：00〜22：00勤務の場合、別途シフト手当（10,000円）を支給します…",2020/12/25
株式会社テクノプロ,【案件はスキルや希望考慮】大手プロジェクト案件からWebアプリ・業務システム・組込ソフト等の開発業務をお任せ。 ※上流工程、マネジメント案件多数,◆各プロジェクト先 首都圏/関東/関西/東海/東北/北信越/中国/九州など ★希望しない転勤ナシ…,350万円～650万円,【学歴・年齢・転職回数不問】システム開発経験をお持ちの方（分野は問いません）,■月給23万円〜50万円＋賞与2回（業績による）※7年連続支給中 ※残業代・交通費別途支給 ※年齢、経験…,2020/12/17
富士フイルムソフトウエア株式会社,Web系商用サービスを中心とした、セキュリティの要件定義・設計・インシデント対応。パブリッククラウドのインフラ設計・構築・運用もお任せします,長崎県長崎市 UJIターン歓迎&WEB面接も対応可能 また、長崎県では移住支援や子育て支援など様々…,500万円～800万円,"■情報セキュリティに関する要件定義・設計・監視・運用技術　または、Azure,AWS等のIaaS,PaaSの設計・設定技術",月給24万円以上　+　諸手当 ※経験・スキルを考慮し、当社規定により加給優遇します。 ※残業代は別途全…,2020/12/08
株式会社アウトソーシングテクノロジー,＜事務職としてステージアップ＞書類作成・データ入力・CADを使った設計事務などを行います◆「あなたの経験＋事務+CAD」で新しいキャリアを構築！,≪希望のエリアで働けます≫ ◇関東エリア／東京、神奈川、埼玉、千葉、栃木、山梨 ◇東海エリア／愛知…,280万円～500万円,＜事務でキャリアアップしたい方＞◆高卒以上★社会人経験1年以上◆PCの基本的な操作ができる方※ExcelやWord、メール送受信◆着実なキャリアUP可能！,◆関東エリア：月給18.5万円〜30万円＋一律手当＋賞与 ◇東海エリア：月給18万円〜30万円＋一律手当＋賞…,2020/12/23
株式会社テクノプロ,【最先端技術に触れられる環境】大手メーカーのプロジェクトをはじめ、ネットワーク/サーバの保守・運用、設計・構築などの業務をお任せ。,◆各プロジェクト先 首都圏/関東/関西/東海/東北/北信越/中国/九州など ★希望しない転勤ナシ…,350万円～650万円,【学歴・年齢・転職回数不問】ネットワーク／サーバの設計・構築・運用いずれかのご経験をお持ちの方,■月給23万円〜50万円＋賞与2回（業績による）※7年連続支給中 ※残業代・交通費別途支給 ※年齢、経験…,2020/12/17
富士フイルムソフトウエア株式会社,FUJIFILMが展開する写真プリントサービスを実現するソフトウェアの要件定義、仕様設計、ソフトウェア設計、市場対応をお任せします。,長崎県長崎市 UJIターン歓迎&WEB面接も対応可能 また、長崎県では移住支援や子育て支援など様々…,500万円～800万円,■Windowsプラットフォーム向けソフトウエア開発実績5年以上 ■「Java」「JavaScript」「SQL」、何れかの言語で5年以上の開発実績,月給24万円以上　+　諸手当 ※経験・スキルを考慮し、当社規定により加給優遇します。 ※残業代は別途全…,2020/12/04
DSP株式会社,《自分ににピッタリの職場を選べる☆》同期と一緒に研修からスタート！有名IT企業や上場企業等で問い合わせ対応・簡単なデータ入力をお任せします。,☆WEB面接OK ◆転勤なし ◆東京都港区の本社または都内を中心とした首都圏内のお客様先 ※UIタ…,300万円～400万円,《学歴・転職回数・経歴は一切不問！もちろん未経験歓迎！》◆35歳以下の方☆「正社員デビューしたい」「ITの仕事に興味がある」という方はぜひ！,月給22万円〜50万円＋賞与 ※スキルや能力などを考慮の上で、決定いたします。 ※上記に固定残業38時間…,2020/12/11
アークレイ長崎開発センター株式会社,＼ スターティングメンバー募集 ／ ◎糖尿病検査や尿検査などの臨床検査機器のソフトウェア開発をお任せします。★充実の研修制度をご用意！,【 転勤なし 】 アークレイ長崎開発センター 長崎県長崎市万才町3-5 12F ★U・I・Jターン…,350万円～700万円,◎組み込み開発の経験をお持ちの方（ 年数不問／学生時代に勉強した方でもOK ） ◎高卒以上 ◎男女不問 ※業務にはC、C＋＋、アセンブラを使用します,月給21〜36万円 ＋ 諸手当 ※経験やスキルなどを考慮し決定いたします。 ★スキル・技術を磨くことで …,2020/11/20
株式会社半導体エネルギー研究所,≪責任者候補として幅広くご活躍いただきます!!≫ 新規開発したリチウムイオン二次電池に関するシステム・モジュール開発や、顧客向けの技術提案。,≪転勤なし≫≪マイカー通勤OK≫ 【本社】 神奈川県厚木市長谷398番地 ＜アクセス＞ 小田急線「…,700万円～1000万円,≪年齢不問・男女不問≫【必須条件】◎大卒以上 ◎リチウムイオン電池の研究開発実績があり、特に電池のシステム・モジュール開発の経験がある方,"年俸制：700万円〜1,000万円 ※年齢やお持ちの経験・スキルや 　前職給与も考慮し、決定します。 ※試用…",2020/11/17
株式会社マクニカ（マクニカネットワークス株式会社に出向）,海外仕入先メーカーが開発したIT・ネットワーク機器、セキュリティ関連商品、 クラウドサービス、AI／IoT関連商品をお客さまへ提供します。,今回の募集はマクニカネットワークス株式会社への出向となります。 社員は全員、株式会社マクニカからの…,450万円～600万円,◆営業力・企画提案力をより高めたい方、意欲的・能動的に仕事を進めていきたい方を求めています◎ポテンシャル重視の採用／業界未経験者も多く活躍中,"月給250,400円〜 ※上記は最低保証額です。 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用…",2020/12/25
日本コンピューターネットワーク株式会社,【 男性の育休取得実績あり｜時短勤務制度あり 】★多彩な開発案件の中からスキルを活かせるプロジェクトをお任せします！★上流工程にも携われる,【 名古屋もしくは大阪での勤務 】 ★転勤なし ★駅徒歩5分圏内！ ★UIターン歓迎 【本社】 名…,350万円～650万円,◆未経験：27歳以下の方(4月入社可能な方) ◆経験者：何らかのシステム開発経験をお持ちの方（開発分野・経験年数は不問）≪フレキシブルに働ける≫,月給19万3000円〜30万7000円＋各種手当+賞与 ＜月収例＞ 月収25万円／25歳 月収34万円／35歳 月収38万円…,2020/12/25
大和ライフネクスト株式会社,【サポート充実】技術系コンサルタントとして分譲マンションの修繕工事提案、もしくは設備メンテナンス、修繕工事のコンサルティング業務等をお任せ。,【希望エリアを最大限考慮】 東京、神奈川、千葉、仙台、大阪、福岡のいずれか ●東京都(港区・新宿区…,,【年間休日123日/各種手当充実】◆お客様との折衝業務に挑戦してみたい方は歓迎！ ～ワークライフバランスが充実できる環境です～,月給20万円〜33万5000円＋賞与年2回 ※上記金額は諸手当を含んでいません ※年齢・経験・能力を考慮の上…,2020/12/25
大和ハウスパーキング株式会社,【総務人事業務全般】チーム全員で協力しながら業務に取り組みます！★年間休日123日 ★残業平均は月5時間程度 ★定着率の高さが自慢です！,★U・Iターン歓迎 【本社】 東京都大田区南蒲田2-16-1 テクノポートカマタセンタービル10F…,250万円～350万円,【未経験・既卒・第二新卒歓迎】「総務人事業務をやってみたい」という意欲のある方 ★令和3年3月卒業見込みの方も歓迎！★福利厚生・各種制度が魅力,月給19万円以上 + 賞与年2回（今年度実績5.5か月分） ※一律手当を含む ※試用期間3ヶ月あり（期間中の…,2020/12/25
日本システムウエア株式会社,【顧客企業のDX実現をサポート】◎開発、インフラの設計・構築、運用保守などをお任せします◎リモートワーク◎特別休暇を使って9連休もOK！,プロジェクトによって在宅ワークまたはオフィス勤務の場合があります。 【拠点】 東京都渋谷区桜丘町1…,400万円～600万円,【第二新卒歓迎！人物重視の採用です】条件：◎開発経験がある方（言語不問）◎意欲・向上心のある方★退職金制度有★育児休業取得率100％,月給23.4万円〜36.4万円＋各種手当（家族手当など）＋時間外手当＋賞与年2回 ※経験、スキルを考慮の上…,2020/12/25
株式会社アコモデーションファースト,【充実の研修制度＆福利厚生】高級マンションのフロント・受付・事務 ★入社後研修やトレーナーによるサポート♪20代女性活躍中！★有給取得率95％,★東京23区内の高級マンションがあなたの勤務先となります ★転居を伴う転勤なし 【レジデンス所在地…,250万円～350万円,【未経験・第二新卒歓迎/学歴不問】「定時で帰って、自分の時間を大切にしたい！」という方にはぴったり！笑顔でお客様の対応をできる方は歓迎♪,★リーダー候補★ 月給21万円〜＋諸手当＋賞与（年2回） ★メンバークラス★ 月給19万円〜＋諸手当＋賞…,2020/12/18
三協立山株式会社,【エクステリア・住宅・ビルなどの建材】または【さまざまな産業で使われるアルミニウムやマグネシウムといったマテリアル】の提案,＜北海道から福岡まで、全国で積極採用中＞ ★希望を考慮し、各拠点へ配属 ★社宅・寮完備 ★エリアご…,,【経験不問！経験ではなく若手の活力に期待しています】◎大卒以上・35歳以下(※)・要自動車普通免許,◆月給19万円以上＋各種手当 【月収例／入社1年目】 26万円／25歳／勤務地手当、営業手当含 27万円／30…,2020/12/18
株式会社ビーエステクニカ,【産業用機械の設計】◎自動車製造ラインの搬送設備、反転機など ◎クラアント企業先で常駐業務や自社での請負業務があり、希望・適性に応じて配属,本社(札幌)および千歳・苫小牧・室蘭の開発先 ※希望勤務地をお聞きします。 ※マイカー通勤可 ※業…,350万円～700万円,【経験が浅い方も歓迎！】◎［機械設計］or［設備関連(CAD操作等)］の業務経験者(年数は問いません) ◎要普免(AT限定可),月給／27万円〜55万円 ※経験、能力を考慮のうえ決定します。 ※試用期間3ヵ月あり(同条件),2020/12/18
株式会社ビーエステクニカ,【希望の分野・レベルにあった工程をお任せ】エンジニア第一で案件をコーディネート ◎業務系、医療系、金融系、自治体系、ゲーム、AIなど,本社(札幌)および札幌市内の開発先 ※マイカー通勤可 ※業務により無期雇用派遣社員として得意先にて…,350万円～700万円,【経験が浅い方も歓迎！】◎SEまたはプログラマーとしてシステム開発の経験がある方(経験年数・分野・言語は不問です) ◎要普免(AT限定可),月給／27万円〜55万円 ※経験、能力を考慮のうえ決定します。 ※試用期間3ヵ月あり(同条件),2020/12/18
株式会社千葉ステーションビル,【千葉を元気にする仕事！】希望と適性に応じて、駅ビル・エキナカ、駅の運営(テナント支援／施設管理／駅業務など)のいずれかをお任せします。,本社(千葉県千葉市)および事業所(千葉市／船橋市／習志野市)での勤務 本社 千葉県千葉市中央区新千…,350万円～500万円,【経験者大歓迎！】◆短大・専門卒以上 ◆社会人経験4年以上 ★年休123日 ★残業月平均20h以下 ★男女とも育休実績あり ★引越しを伴う転勤なし,月給20万円以上 ※経験・年齢・能力を考慮し、相談の上、決定いたします。,2020/12/15
株式会社エコリング,【全国から買い取った品物を自社オークションで利益に変えるバイヤー】【本社にてバイヤーのサポートを行う事務】いずれかに希望と適性を考慮して配属,【遠方からのUIターン歓迎！WEB面接1回で内定を出します】 姫路本社／兵庫県姫路市飾磨区恵美酒2…,350万円～450万円,【2020年11月19日 テレビ東京系列「カンブリア宮殿」にて特集されました】◎未経験・第二新卒歓迎 ■高卒以上■33歳まで ■要普免（AT限定可）,"月給：24万1,500円以上＋諸手当 ※経験を考慮の上、優遇いたします ※別途時間外手当支給 ※試用期間2ヶ…",2020/12/17
株式会社テクノプロ,医療・医薬品・バイオ/材料開発/環境/エネルギー/エレクトロニクス…など、多岐にわたるフィールドで研究開発業務をお任せします。【U・Iターン歓迎】,□全国各地の研究所(プロジェクト先／企業・大学・公的機関　など) □当社リサーチセンター(神戸・柏…,350万円～600万円,【修士/博士課程修了者 ※未経験歓迎】ポスドク研究員も歓迎※大卒/高専卒/専門卒の方は研究経験1年以上 ※20～30代活躍中＜100%研究職・正社員採用＞,月給23万円以上 ※経験・年齢・スキルなどを考慮のうえ、決定いたします。,2020/12/11
株式会社スライブハーツ,◎搾乳・餌やり・清掃などをお任せします。最初は1つを学び、いずれは全てを習得していただきます。《AI技術の導入で、未経験の方でも安心！》,〒089-5231 北海道中川郡豊頃町豊頃佐々田町123,250万円～400万円,【未経験歓迎】◎学歴・経験・資格は一切不要！「動物が好き」「酪農に興味がある」「新しいことに挑戦したい」そんな前向きな方を歓迎します♪,"月給180,000円〜350,000円 【モデル月給】 経験1年(新人)／月給18万円〜 経験3年(中堅)／月給25万円〜 …",2020/12/11
トーテックフロンティア株式会社,〔 求められる人材へ！充実の教育制度あり◎ 〕携帯通信、自動車製品、電動工具などの安全評価、動作確認、耐久性試験などの業務を行ないます。,〔 転居を伴う転勤なし／U・Iターン歓迎 〕 愛知県、岐阜県、三重県、静岡県いずれかの勤務地で 希…,350万円～450万円,〔 未経験歓迎＊29歳迄の方※ 〕学歴・文理不問 ★『最先端技術に携わりたい！』という未経験者も大歓迎ですよ！,月給20万〜26万円（一律住宅手当・業務手当含む））＋時間外手当（100％支給） ※経験・年齢・能力などを…,2020/12/15
ソフトバンク株式会社,＜ソフトバンク本体ならではの、多彩なキャリアパスが魅力＞入社後、まずは経験や能力に応じて、提案営業や販売などをお任せします。,◆好きな勤務エリアで働けます！転勤もナシ！U・Iターン歓迎！ 【日本全国で募集中☆】 北海道、東北…,250万円～350万円,◆高卒以上 ◆営業や販売経験者歓迎！★人と接する仕事がしたい方、キャリアアップがしっかりできる企業で働きたい方、大歓迎です！,【東京・神奈川・千葉・埼玉・茨城】 月給24万円〜(月収例／25万8000円〜) 【愛知/石川】 月給23万2000…,2020/12/04
ソフトバンク株式会社,＜ソフトバンク本体ならではの多彩な魅力＞◆来店フォローやスマホ教室、受付サポートなどをお任せします。,◆好きな勤務エリアで働けます！転勤もナシ！U・Iターン歓迎！ 【日本全国で募集中☆】 東北、関東、…,250万円～350万円,◆高卒以上 ◆営業や販売経験者歓迎！★人と接する仕事がしたい方、キャリアアップがしっかりできる企業で働きたい方、大歓迎です！,【東京・神奈川・千葉・埼玉・茨城】 月給24万円〜(月収例／25万8000円〜) 【愛知/石川】 月給23万2000…,2020/12/04
雄健工業株式会社,【既存取引先が8割超！】商業施設や病院、空港などに建てる「自走式立体駐車場」をゼネコンや設計事務所、大規模店舗チェーンなどに企画提案します,★転勤なし ★U・Iターン歓迎 全国募集【東京・仙台・大阪・名古屋・福岡・熊本・沖縄】 ※勤務地は…,350万円～650万円,【未経験・第二新卒、歓迎！】※業界経験は一切不問！※営業はもちろん、人と接する仕事の経験が活かせます！★転勤ナシ！★土日祝休のメリハリ勤務！,月給25万円〜40万円 ＋ 諸手当【残業手当支給など】＋ 賞与年2回 ※年齢、経験、能力を考慮の上、優遇い…,2020/11/27
株式会社アスページ,各種システム開発（オープン系・WEB系・汎用系）、ITインフラの設計・構築・運用・保守、Webサイト制作など、スキルと希望に応じた業務で活躍！,※原則自由 ※仕事の性質上、23区を中心とする首都圏のプロジェクト先での業務がメインになりますが、…,480万円～840万円,【学歴不問／25歳以上】★経験者／開発・運用・保守など、何らかのプロジェクト参加経験が3年以上ある方,【固定報酬】 年額480万円以上 ※840万円の方や1000万円以上の方もいます。 ※希望報酬額・スキル等を考…,2020/11/24
株式会社ピーシープロモーション,専門知識ゼロでOK。まずはIT・プログラムのイロハから学ぼう！3ヶ月の当社独自の研修カリキュラムを経て、ITエンジニアとして現場デビュー！,■本社／東京都渋谷区神宮前4-11-6 表参道千代田ビル6F ■各クライアント先／東京・千葉・埼玉…,240万円～300万円,■学歴不問　■35歳までの方（若年層の長期キャリア形成を図るため）　※業界・職種未経験者・第二新卒者大歓迎！　※完全ポテンシャル採用です！,月給20万円以上＋残業代（全額）＋各種手当 ※経験・能力を考慮の上で決定いたします。 ※研修期間中（3…,2020/11/24
株式会社エム・シーネットワークスジャパン,【ノルマなし／完全予約制★プロから学べる研修】脱毛サロンスタッフとして、お手入れのほかに受付や事務業務もお任せします。★『全身脱毛』無料！,★転勤なし 東京都渋谷区:渋谷109前店 など 東京都豊島区:池袋店、池袋サンシャイン通り店 東京…,300万円～500万円,【未経験・第二新卒歓迎】◆39歳までの方 ★お休みも収入も、どちらも諦めたくない方は是非！★産休/育休取得率100％ ★平均年齢27歳,"【愛知/岐阜】月給25万5,000円以上 【東京/神奈川/千葉/大阪/兵庫】月給24万5,000円以上 【その他】月給2…",2020/12/22
プレミアムウォーター株式会社,【営業としてスキルアップできる職場】法人向けの企画営業として、自社製品のPRやアライアンス先の拡大をお任せします。,★原則転勤はありません／「原宿駅」徒歩3分★ 東京都渋谷区神宮前1-23-26神宮前123ビル,300万円～800万円,【業界未経験者歓迎】《応募条件》◎営業の経験（法人営業がベスト）◎基本的なPCスキル ◎人と話すことが好きな方 ※人柄や意欲重視の採用を実施！,"月給：25万5,000円〜 ※給与詳細は経験・能力を踏まえて決定します。 ※上記には、固定残業代（45時間分…",2020/12/22
株式会社エム・シーネットワークスジャパン,【勧誘・ノルマなし／完全予約制★プロから学べる多彩な研修】お手入れ、ホームケアアドバイスなどをお任せします♪ ★『全身脱毛＋美肌潤美』無料！,★転勤なし 東京都渋谷区:渋谷109前店 など 東京都豊島区:池袋店、池袋サンシャイン通り店 東京…,300万円～500万円,【未経験、第二新卒歓迎★平均年齢27歳】人と話すことが好きで、美容に興味がある方大歓迎★産休/育休取得率100％★入社1年でリーダーも目指せる,"【愛知/岐阜】月給25万5,000円以上 【東京/神奈川/千葉/大阪/兵庫】月給24万5,000円以上 【その他】月給2…",2020/12/23
株式会社エム・シーネットワークスジャパン,【勧誘・ノルマなし／完全予約制★プロから学べる多彩な研修】銀座カラーのエステティシャン、カウンセラーとして、同期と一緒に美容業界デビュー♪,★転勤なし 東京都渋谷区:渋谷109前店 など 東京都豊島区:池袋店、池袋サンシャイン通り店 東京…,300万円～500万円,【未経験、第二新卒歓迎★平均年齢27歳】人と話すことが好きで、美容に興味がある方大歓迎★全身脱毛と美肌潤美が0円★資格・美容知識もいっさい不要,"【愛知/岐阜】月給25万5,000円以上 【東京/神奈川/千葉/大阪/兵庫】月給24万5,000円以上 【その他】月給2…",2020/12/23
株式会社エース,ひとつの売り場をお任せします！仕入れやレイアウトなど、魅力的な売り場をつくってください！入社後は先輩社員のサポートから。,◎初任地は現住所から通勤可能な店舗 ◎希望勤務地を考慮します。U・Iターン歓迎！ ◎新規出店も続々…,300万円～450万円,≪将来を見据えた若手の育成枠採用≫◎自由度高く働きたい方、店長の先のポジションを目指したい方大歓迎！中途入社の社員も店舗や本部で活躍中です！,月給20万7000円〜24万8000円 ※あくまでも最低の保障金額になります。経験に合わせて金額を決定いたしま…,2020/12/23
株式会社セルア,【理想のキャリアを叶えるチャンス】金融・官公庁・医療など、幅広い業界の開発プロジェクトにアサイン。システム開発やサーバ構築などを担当します。,【基本的に転勤なし／UIターン歓迎】 東京本社(千代田区)または大阪本社(大阪市)に配属します。…,250万円～700万円,【経験者】Java、.NET(VB、C#、ASP)、PHP、C++、C、VC などを使用したシステム開発の経験 【実務未経験者】32歳までの方(※)・IT業界で働きたい方,月給20万円〜50万円 　※経験者は月給30万円〜60万円(前職給与を考慮します)。 　※経験、年齢、能力など…,2020/11/13
SBプレイヤーズ株式会社,ふるさと納税を通して地域活性化を促進するポータルサイト「さとふる」の社内SEとして、要件定義から運用の改善までシステムに幅広く携わる仕事です。,東京都中央区京橋2-2-1　京橋エドグラン13F 東京メトロ銀座線「京橋駅」直結 山手線・中央線な…,550万円～750万円,■いずれかの経験をお持ちの方■ 1)BtoC向けWebシステムの企画や構築・運用、2)要件定義や基本設計といった上流工程、プロジェクトマネジメント,月給29万円以上＋残業手当＋賞与（年2回） ※経験・能力を考慮します。,2020/11/24
株式会社アウトソーシングテクノロジー,＜経験を活かして新しい挑戦＞データ入力や図面の修正といったキャリア事務を行います。★男女不問★土日祝休み★残業少なめ★有給取得率90％以上,≪希望のエリアで働けます≫ ◇関東エリア／東京、神奈川、埼玉、千葉、栃木、山梨 ◇東海エリア／愛知…,280万円～500万円,＜未経験歓迎＞◎高卒以上・社会人経験1年以上◎第二新卒者OK！★事務の経験がある方は活かせます。★キャリアチェンジ・ジョブチェンジも歓迎 ！,◆関東エリア：月給18.5万円〜30万円＋一律手当＋賞与 ◇東海エリア：月給18万円〜30万円＋一律手当＋賞…,2020/12/23
パクテラ・テクノロジー・ジャパン株式会社 | 世界で30000人が活躍するグローバルITベンダーの日本法人,JAVA開発プロジェクトにおける要件ヒアリング、要件定義、基本設計、プロジェクト管理、オフショア管理、フロント開発、運用保守 等,東京都千代田区九段下のプロジェクト先 ＜当社事業所所在地＞ 【本社】東京都江東区富岡2丁目11-6…,400万円～800万円,JAVA開発におけるSE・PG経験者または中国語でのオフショア開発経験者 ◎経験の浅い方から上流経験者まで広く募集 ◎AIなど先進技術に興味のある方歓迎,月給33万円〜66万円 ※スキルや経験を考慮し当社規定により決定 ※試用期間3ヶ月／条件変更なし,2020/11/27
